date,mmm_yy,week no
2022-05-01,22-May,W 19
2022-05-02,22-May,W 19
2022-05-03,22-May,W 19
2022-05-04,22-May,W 19
2022-05-05,22-May,W 19
2022-05-06,22-May,W 19
2022-05-07,22-May,W 19
2022-05-08,22-May,W 20
2022-05-09,22-May,W 20
2022-05-10,22-May,W 20
2022-05-11,22-May,W 20
2022-05-12,22-May,W 20
2022-05-13,22-May,W 20
2022-05-14,22-May,W 20
2022-05-15,22-May,W 21
2022-05-16,22-May,W 21
2022-05-17,22-May,W 21
2022-05-18,22-May,W 21
2022-05-19,22-May,W 21
2022-05-20,22-May,W 21
2022-05-21,22-May,W 21
2022-05-22,22-May,W 22
2022-05-23,22-May,W 22
2022-05-24,22-May,W 22
2022-05-25,22-May,W 22
2022-05-26,22-May,W 22
2022-05-27,22-May,W 22
2022-05-28,22-May,W 22
2022-05-29,22-May,W 23
2022-05-30,22-May,W 23
2022-05-31,22-May,W 23
2022-06-01,22-Jun,W 23
2022-06-02,22-Jun,W 23
2022-06-03,22-Jun,W 23
2022-06-04,22-Jun,W 23
2022-06-05,22-Jun,W 24
2022-06-06,22-Jun,W 24
2022-06-07,22-Jun,W 24
2022-06-08,22-Jun,W 24
2022-06-09,22-Jun,W 24
2022-06-10,22-Jun,W 24
2022-06-11,22-Jun,W 24
2022-06-12,22-Jun,W 25
2022-06-13,22-Jun,W 25
2022-06-14,22-Jun,W 25
2022-06-15,22-Jun,W 25
2022-06-16,22-Jun,W 25
2022-06-17,22-Jun,W 25
2022-06-18,22-Jun,W 25
2022-06-19,22-Jun,W 26
2022-06-20,22-Jun,W 26
2022-06-21,22-Jun,W 26
2022-06-22,22-Jun,W 26
2022-06-23,22-Jun,W 26
2022-06-24,22-Jun,W 26
2022-06-25,22-Jun,W 26
2022-06-26,22-Jun,W 27
2022-06-27,22-Jun,W 27
2022-06-28,22-Jun,W 27
2022-06-29,22-Jun,W 27
2022-06-30,22-Jun,W 27
2022-07-01,22-Jul,W 27
2022-07-02,22-Jul,W 27
2022-07-03,22-Jul,W 28
2022-07-04,22-Jul,W 28
2022-07-05,22-Jul,W 28
2022-07-06,22-Jul,W 28
2022-07-07,22-Jul,W 28
2022-07-08,22-Jul,W 28
2022-07-09,22-Jul,W 28
2022-07-10,22-Jul,W 29
2022-07-11,22-Jul,W 29
2022-07-12,22-Jul,W 29
2022-07-13,22-Jul,W 29
2022-07-14,22-Jul,W 29
2022-07-15,22-Jul,W 29
2022-07-16,22-Jul,W 29
2022-07-17,22-Jul,W 30
2022-07-18,22-Jul,W 30
2022-07-19,22-Jul,W 30
2022-07-20,22-Jul,W 30
2022-07-21,22-Jul,W 30
2022-07-22,22-Jul,W 30
2022-07-23,22-Jul,W 30
2022-07-24,22-Jul,W 31
2022-07-25,22-Jul,W 31
2022-07-26,22-Jul,W 31
2022-07-27,22-Jul,W 31
2022-07-28,22-Jul,W 31
2022-07-29,22-Jul,W 31
2022-07-30,22-Jul,W 31
2022-07-31,22-Jul,W 32
